SCURVE, 1.2, 60, 0.08, 0
BASE_SEASON_LENGTH, 38
STRETCH_ADDITION, 1.2
PRIMARY_OBJECTIVE_WEIGHTING, 0.75
SECONDARY_OBJECTIVE_WEIGHTING, 0.25
**********************
******OBJECTIVE--GRAPHMIN--GRAPHMAX--HARDMIN--HARDMAX
APPEARANCES, 15, 38, 5, 38
CREATE_GOALS, 12, 28, 5, 40
GOALS, 10, 25, 5, 35
ASSISTS, 7, 17, 5, 20
CHANCES_CREATED, 40, 80, 30, 80
PASS_PERCENT, 75, 90, 65, 90
SHOT_TO_GOALS_CONVERSION_PERCENT, 10, 30, 10, 60
CLEAN_SHEETS, 6, 17, 4, 22
GOALS_CONCEDED_PER_GAME, 0.6, 2, 0.4, 3
AVG_RATING, 6.0, 8.5, 6.0, 9.0
SUCCESSFUL_KEY_DRIBBLE_PER_MATCH, 1.0, 3.0, 1.0, 4.0
SUCCESSFUL_CROSSES_PER_MATCH, 1.5, 3.5, 1.0, 5.0
TACKLE_SUCCESS_PERCENT, 50, 75, 40, 80
FOULS_PER_MATCH, 1, 2, 0, 3
SAVES_TO_GOALS_CONCEDED_RATIO, 1.5, 4.0, 1.0, 5.0
