Type,Nation ID,Nation,Star Rating,Minimum Budget,# Clubs,,,,,,,,,Timezone
,,,,,European,North American,South American,ROW,Local,Continental,Qualify Prize,Group Prize,Final Prize,
0,14,England,4.5,15000000,6,0,0,0,3,0,2000000,3700000,4300000,0
0,18,France,4.5,15000000,10,0,0,0,2,0,2000000,3700000,4000000,1
0,27,Italy,4.5,15000000,8,0,0,0,3,0,2000000,3200000,4000000,1
0,45,Spain,4.5,15000000,8,0,0,0,3,0,2000000,3500000,4000000,1
0,21,Germany,4.5,15000000,10,0,0,0,2,0,2000000,3500000,4300000,1
0,56,Colombia,4.5,20000000,6,2,2,0,2,0,2200000,2750000,3800000,-5
0,55,Chile,4.5,20000000,5,1,1,0,2,0,2000000,3100000,3900000,-4
0,83,Mexico,4.5,20000000,6,1,2,0,2,0,2000000,3000000,3500000,-6
0,54,Brazil,5,20000000,7,1,1,0,2,0,2500000,3500000,4200000,-3
0,52,Argentina,5,20000000,7,1,1,0,2,0,2500000,3500000,4000000,-3
0,183,Saudi Arabia,5,20000000,7,0,0,0,2,0,3000000,3500000,5000000,3
0,167,Korea,5,20000000,7,0,0,1,2,0,3000000,3500000,4000000,9
0,195,Australia,5,20000000,7,0,0,1,2,0,3000000,3500000,4500000,10
0,95,U.S. (MLS),5,20000000,7,0,1,0,2,0,3100000,4200000,5200000,-6
0,163,Japan,5,20000000,7,0,0,1,2,0,3000000,4000000,5000000,9
0,155,China,5,20000000,7,0,0,1,2,0,3000000,4100000,5200000,8
1,83,Mexico,2.5,0,0,4,2,0,4,0,350000,500000,600000,-6
1,95,U.S. (MLS),2.5,2500000,0,2,3,0,4,0,600000,900000,1250000,-6
1,56,Colombia,2.5,1000000,0,0,0,0,3,5,400000,520000,900000,-5
1,55,Chile,2.5,2000000,0,0,0,0,3,5,450000,650000,800000,-4
1,52,Argentina,2,2000000,0,0,0,0,4,4,500000,650000,700000,-3
1,56,Colombia,1.5,0,0,0,0,0,4,4,300000,400000,500000,-5
1,55,Chile,1.5,1000000,0,0,0,0,4,4,400000,600000,750000,-4
1,52,Argentina,2,0,0,0,0,0,3,5,340000,480000,550000,-3
1,54,Brazil,2,0,0,0,0,0,3,5,350000,500000,600000,-3
1,54,Brazil,2,2000000,0,0,0,0,4,4,500000,600000,750000,-3
1,183,Saudi Arabia,1,0,0,0,0,0,3,5,380000,520000,600000,3
1,195,Australia,1,0,0,0,0,0,3,5,400000,600000,1000000,10
1,167,Korea,2,2100000,0,0,0,0,3,5,500000,750000,1200000,9
1,163,Japan,2,0,0,0,0,0,3,5,500000,600000,700000,9
1,155,China,2,0,0,0,0,0,3,5,500000,700000,800000,8
1,14,England,4,8000000,0,0,0,0,3,6,1300000,3000000,3700000,0
1,34,Netherlands,4,8000000,0,0,0,0,2,6,1500000,2500000,3300000,1
