AI Club Seller First Stall Length,Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,,,,,
"offer in [min, guaranteed] %",min,max,min,max,min,max,,,,,
100,0,0,0,0,0,0,,,,,
80,0,0,5,7,0,0,,,,,
60,0,0,5,7,0,0,,,,,
40,0,0,5,10,0,0,,,,,
20,0,0,5,10,0,0,,,,,
0,0,0,3,5,0,0,,,,,
,,,,,,,,,,,
AI Club Seller Next Stalls Length,,,,,,,,,,,
Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,,,,,,
min,max,min,max,min,max,,,,,,
1,2,3,5,1,1,,,,,,
,,,,,,,,,,,
AI Player Stall Lengths,,,,,,,,,,,
No FailCodes,,,,,,With FailCodes,,,,,
Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,
min,max,min,max,min,max,min,max,min,max,min,max
1,3,3,7,1,1,2,3,5,0,0,0
,,,,,,,,,,,
Player Score Difference,Inside Window Additional Days,Outside Window Additional Days,Deadline Day Additional Hours,,,,,,,,
-100,0,3,0,,,,,,,,
0,0,2,0,,,,,,,,
100,0,0,0,,,,,,,,
,,,,,,,,,,,
Club Loans,,,,,,,,,,,
Inside Transfer Window(days),,Outside Transfer Window(days),,Inside Deadline Day(hours),,,,,,,
min,max,min,max,min,max,,,,,,
0,0,5,7,0,0,,,,,,
