BuyerCounterOfferValue,,,,
% of difference offer,0%,25%,50%,75%
30,0,70,20,10
50,0,65,20,15
75,0,55,25,20
95,0,50,30,20
,,,,
BuyerCounterOfferValueForHighDemand,,,,
Demanded/MaxOffer %,same chances as above,,,
110,0,70,20,10
120,0,65,20,15
135,0,55,25,20
150,0,50,30,20
,,,,
BuyerCounterOfferPlayerRankModifier,,,,
rank,low % change,high % change,,
1,-25,20,,
2,-15,15,,
3,-10,10,,
4,-5,5,,
5,-5,5,,
6,0,0,,
,,,,
BuyerCounterOfferValueForPlayer,,,,
% of difference offer,0%,25%,50%,75%
20,0,70,20,10
40,0,65,20,15
60,0,55,25,20
80,0,50,30,20
,,,,
BuyerCounterForPlayerForHighDemand,,,,
Demanded/MaxOffer %,same chances as above,,,
100,0,70,20,10
120,0,65,20,15
135,0,55,25,20
150,0,50,30,20
