,Scoring Criteria Weights,,,"// the weights are multiplied with the score returned by the evaluation criteria [0, 1.f]",,,,,
,Overall,Potential,Age,Position,Free Agents,Pre Contract,Loan Listed,Transfer Listed,Monitored
Improve squad,1,-0.2,0.9,1,0.5,0.1,0,1,1
Next big thing,0,0,0,0,0,0,0,0,0
Loans,0.2,0.4,0.05,0.95,0,0,0.01,0,0
,,,,,,,,,
,Position Penalty,,,,,,,,
,Preffered 1,Preffered 2,Preffered 3,Preffered 4,,,,,
Penalty,0,1,1,1,,// the penalty is substracted from 1.f // [AS] This functionality is commented out untill WPA is changed,,,
,,,,,,,,,
Num Total Picked Players,30,,// The total number of players picked for the shortlist,,,,,,
Num Shortlisted Players,29,,// The number of random players which actually get picked,,,,,,
Big Thing or Loan Overall Threshold,72,,,,,,,,
Max Age Improve Squad,30,,,,,,,,
Max Age Next Big Thing,24,,,,,,,,
Max Age Loan,22,,,,,,,,
,,,,,,,,,
Improve Squad Overall Min Threshold,1.05,,// relative weakest area average ,,,,,,
Improve Squad Overall Max Threshold,1.13,,,,,,,,
,,,,,,,,,
Improve Squad Bias Overall,73,81,100,,// Overall values lower than this value get the respective bias,,,,
Improve Squad Bias Value,0,0.12,0.15,,// This value is added to the improve squad overall max threshold,,,,
,,,,,,,,,
Loan Overall Min Threshold,0.85,,// relative weakest area average ,,,,,,
Loan Overall Max Threshold,1.15,,,,,,,,
,,,,,,,,,
Next Big Thing Overall Min Threshold,0,,// relative weakest area average ,,,,,,
Next Big Thing Overall Max Threshold,0,,,,,,,,
,,,,,,,,,
Next Big Thing Potential Min Threshold,0,,// relative weakest area average ,,,,,,
Next Big Thing Potential Max Threshold,0,,,,,,,,
,,,,,,,,,
Random Activity Chance Inside Deadline Day,99,,// Change to generate transfer activity for players that are not transfer / loan listed,,,,,,
Random Activity Chance Inside Transfer Window,99,,,,,,,,
Random Activity Chance Outside Transfer Window,75,,,,,,,,
,,,,,,,,,
Listed Activity Chance,99,,// Chance to generate transfer activity for players that are transfer / loan listed,,,,,,
Listed Activity Chance - PAP ,99,,,,,,,,
Transfer Listed VS Loan Listed Chance,41,,,,,,,,
,,,,,,,,,
Max Number Of Teams To Search,20,,// The max number of suitable teams we search for - we do a random to pick amongst these,,,,,,
Min Days Between Offers,1,,// The min number of days before generating a new offer for the listed players,,,,,,
Max Attempts To Find Suitable Team,15,,// Max number of attempts to find suitable teams,,,,,,
Overall Difference Per Attempt Transfer,2,,// Difference to the users team overall - this gets multiplied by each attempt number,,,,,,
Overall Difference Per Attempt Loan,3,,,,,,,,
,,,,,,,,,
Normal Bucket Rank Difference Threshold,2,,// The bucket rank difference between the teams,,,,,,
Top / bottom Bucket Rank Difference Threshold,3,,// The bucket rank difference between the teams - only used for first and last bucket to increase the range,,,,,,
